City,Accounting,March,April,May,estimate
台北市,有,6500,,,
彰化縣,沒有,,,,4001 -  5000
高雄市,沒有,,,,7001 - 8000
台南市,有,9000,10000,9800,
台北市,沒有,,,,4001 -  5000
高雄市,有,2500,2580,3000,
台南,沒有,,,,5001 - 6000
桃園,有,7000,7000,7000,
台中,沒有,,,,6001 - 7000
台北市,沒有,,,,3000以下
台南市,有,12449,13281,10991,
台南,沒有,,,,7001 - 8000
桃園,沒有,,,,6001 - 7000
新竹市,沒有,,,,3001 - 4000
新北市,沒有,,,,8001 - 9000
嘉義,沒有,,,,9001 - 10000
台南,有,10051,7776,7640,
新北,沒有,,,,7001 - 8000
新北市,沒有,,,,6001 - 7000
台北市,有,2100,2250,2000,
高雄市,有,6587,7090,7115,
新竹縣,沒有,,,,4001 -  5000
台北市,沒有,,,,5001 - 6000
台南,沒有,,,,9001 - 10000
桃園,有,6420,4950,6830,
台中,沒有,,,,5001 - 6000
台中,沒有,,,,5001 - 6000
台北,有,5860,6220,5547,
台北市,有,4000,3500,3780,
新北市,沒有,,,,9001 - 10000
嘉義市,有,4000,3700,4100,
新北市,有,9000,10000,9000,
新北市,沒有,,,,8001 - 9000
彰化市,有,6742,7763,7542,
台中,沒有,,,,7001 - 8000
台北,有,6509,5543,6047,
台南,有,7000,7000,6000,
彰化,沒有,,,,5001 - 6000
新竹,沒有,,,,6001 - 7000
嘉義縣,沒有,,,,5001 - 6000
高雄市 俗稱發財市,沒有,,,,5001 - 6000
新竹縣,沒有,,,,4001 -  5000
宜蘭,沒有,,,,9001 - 10000
桃園,沒有,,,,4001 -  5000
新竹市,沒有,,,,7001 - 8000
新竹市,沒有,,,,3000以下
桃園,有,1339,852,還沒算,
黃柏泓,有,10000,7293,4952,
台南,沒有,,,,8001 - 9000
台北市,有,8000,8000,8000,
新北市,沒有,,,,5001 - 6000
高雄市,有,5712,5874,5394,
新竹市,沒有,,,,4001 -  5000
新北市,沒有,,,,3000以下
高雄市,沒有,,,,3000以下
桃園,沒有,,,,6001 - 7000
新竹市,沒有,,,,6001 - 7000
新竹市,沒有,,,,3001 - 4000
臺南,有,8000,3000,4045,
新北市,沒有,,,,6001 - 7000
新竹,沒有,,,,9001 - 10000
新北市,沒有,,,,9001 - 10000
台南,沒有,,,,4001 -  5000
嘉義縣,沒有,,,,7001 - 8000
苗栗市,沒有,,,,5001 - 6000
新北,沒有,,,,5001 - 6000
彰化縣,沒有,,,,4001 -  5000
台中,沒有,,,,4001 -  5000
高雄市,有,5000,6000,5200,
新竹市,有,4072,3842,3136,
台南,有,5382,5859,5398,
桃園市,沒有,,,,5001 - 6000
高雄,沒有,,,,9001 - 10000
新竹市,沒有,,,,4001 -  5000
台南市,沒有,,,,3001 - 4000
台南,有,5000,5000,5000,
台中市,沒有,,,,6001 - 7000
基隆市,有,4670,5018,5028,
桃園,沒有,,,,3001 - 4000
台北,有,8500,9000,8000,
桃園市,沒有,,,,7001 - 8000
台北,有,3899,3423,4736,
台中,有,5632,4561,6583,
嘉義市,有,11000,10000,9700,
新北市,沒有,,,,5001 - 6000
高雄,沒有,,,,4001 -  5000
台中市,有,1618,2251,981,
新竹市,有,4023,2292,3030,
高雄市,沒有,,,,7001 - 8000
桃園,沒有,,,,3001 - 4000
台南市,沒有,,,,6001 - 7000
台北市,沒有,,,,6001 - 7000
苗栗,有,1700,4000,4300,
台南市,有,6700,7120,7012,
桃園,沒有,,,,3001 - 4000
彰化,有,5182,2909,4566,
新北,沒有,,,,5001 - 6000
台北市,有,3000,3400,3100,
新北,沒有,,,,3001 - 4000
新竹縣,有,3000,2800,4500,
新北市,沒有,,,,3001 - 4000
新北,沒有,,,,4001 -  5000
新竹,沒有,,,,7001 - 8000
桃園市,沒有,,,,7001 - 8000
新竹,有,3521,4531,5431,
新北市,有,3600,5000,5500,
新北市,有,3589,3358,3572,
新北市,沒有,,,,4001 -  5000
新竹市,沒有,,,,3000以下
高雄市,沒有,,,,6001 - 7000
台北市,沒有,,,,7001 - 8000
嘉義縣,有,6260,7101,6336,
桃園,有,4857,4362,5331,
臺北市,有,4000,3400,4100,
彰化縣,有,4300,3800,4000,
台南,有,5000,4000,5600,
南投縣,有,5300,5900,5800,
台南,沒有,,,,9001 - 10000
台中,有,6000,5000,3000,
台南市,有,5800,3700,3400,
新北市,沒有,,,,7001 - 8000
新北市,沒有,,,,3000以下
台北市,有,6430,6005,6758,
台北市,有,7867,6726,7314,
彰化,有,4023,3442,4202,
新竹,沒有,,,,7001 - 8000
台北市,沒有,,,,8001 - 9000
南投,有,6000,6000,6000,
新北市,沒有,,,,3001 - 4000
台中市,有,6000,5000,6500,
屏東縣,有,5106,4125,4760,
雲林,有,4396,3691,4053,
桃園,沒有,,,,5001 - 6000
南投,沒有,,,,5001 - 6000
臺北市,有,3200,3000,3000,
新竹,沒有,,,,4001 -  5000
新竹市,沒有,,,,7001 - 8000
台中市,有,3000,3000,4000,
桃園市,有,1080,1980,2000,
台中市,有,5000,5000,5000,
屏東縣,有,7000,5000,5300,
新竹市,有,10039,10683,7492,
高雄,沒有,,,,5001 - 6000
台中,沒有,,,,6001 - 7000
馬來西亞,有,9752,8901,9970,
台南,沒有,,,,7001 - 8000
新北市,沒有,,,,6001 - 7000
新北市,有,6188,6858,5052,
台北,沒有,,,,6001 - 7000
新竹縣竹北市,有,7854,8645,7666,
新北市,有,5609,5923,5871,
屏東縣,有,3000,2800,4200,
桃園市,沒有,,,,7001 - 8000
台中,沒有,,,,4001 -  5000
台北,沒有,,,,8001 - 9000
新竹,有,4838,6216,4898,
台南市,有,7500,7750,7102,
苗栗縣,有,4322,4332,4681,
台南,有,5895,6033,6110,
台中市,有,5500,5500,5500,
台北市,沒有,,,,3000以下
新北,沒有,,,,5001 - 6000
臺南,沒有,,,,3001 - 4000
澳門,有,7000,6000,6000,
嘉義市,有,5908,5104,5592,
台北市,有,5360,4290,5510,
桃園中壢,沒有,,,,6001 - 7000
新竹市,沒有,,,,3001 - 4000
桃園,沒有,,,,5001 - 6000
桃園,有,6221,4976,5387,
新北市,有,3611,3166,3100,
台北,沒有,,,,7001 - 8000
新竹市,沒有,,,,9001 - 10000
花蓮縣,有,5988,5956,5578,
宜蘭縣,有,3849,4488,6920,
高雄,沒有,,,,5001 - 6000
新竹市,沒有,,,,5001 - 6000
基隆市,沒有,,,,6001 - 7000
新北市,沒有,,,,4001 -  5000
新竹縣,有,4580,5030,4975,
彰化市,沒有,,,,6001 - 7000
新竹市,沒有,,,,6001 - 7000
花蓮縣,沒有,,,,7001 - 8000
台北市,沒有,,,,3001 - 4000
台北市,沒有,,,,6001 - 7000
台中市,沒有,,,,5001 - 6000
新北市,有,7493,8368,7286,
新竹市,有,5800,5400,5200,
新竹市,沒有,,,,3000以下
新北市,沒有,,,,6001 - 7000
台北市,沒有,,,,3001 - 4000
新竹市,沒有,,,,3000以下
新北市,沒有,,,,8001 - 9000
高雄市,沒有,,,,9001 - 10000
台中市,有,4000,4200,5300,
桃園市,有,6342,4773,6296,
彰化縣,沒有,,,,6001 - 7000
新竹,沒有,,,,3001 - 4000
台東,沒有,,,,6001 - 7000
新北市,沒有,,,,3000以下
台中,沒有,,,,4001 -  5000
台南市,沒有,,,,5001 - 6000
新北市,有,6600,5230,6000,
彰化縣,有,6673,5822,5678,
台北市,沒有,,,,6001 - 7000
台南,沒有,,,,9001 - 10000
雲林,沒有,,,,7001 - 8000
臺北市,有,4000,4000,不知,
台北,沒有,,,,5001 - 6000
台南,有,4552,5420,6713,
台北市,沒有,,,,4001 -  5000
新北市,沒有,,,,4001 -  5000
新北市,有,6829,4194,5122,
台中市,沒有,,,,4001 -  5000
新北,有,5440,3458,3294,
桃園市,有,4635,3194,5606,
彰化,有,6000,6000,5000,
高雄市,有,7500,8000,10000,
桃園市,沒有,,,,5001 - 6000
高雄市,沒有,,,,4001 -  5000
高雄,沒有,,,,11001 - 12000
新竹,沒有,,,,4001 -  5000
台中,有,2990,1940,2443,
臺中市,沒有,,,,8001 - 9000
桃園,沒有,,,,5001 - 6000
新北市,沒有,,,,3001 - 4000
台北,沒有,,,,7001 - 8000
新北市,有,4760,4880,4720,
Yunlin,沒有,,,,7001 - 8000
新竹市,沒有,,,,4001 -  5000
新竹,沒有,,,,9001 - 10000
雲林縣,沒有,,,,7001 - 8000
新竹縣,沒有,,,,4001 -  5000
台中,有,3000,4000,3500,
台南,沒有,,,,5001 - 6000
臺北市,沒有,,,,4001 -  5000
台北市,有,5000,4500,4000,
高雄市,有,8423,6699,7128,
嘉義縣,有,5983,5162,4303,
臺北市,有,8135,6105,8572,
新北市,沒有,,,,3001 - 4000
台南,沒有,,,,4001 -  5000
臺中市,有,2809,2446,2842,
雲林,沒有,,,,5001 - 6000
新北,有,2948,3015,2800,
台北市,有,5214,4895,5003,
桃園,沒有,,,,6001 - 7000
新竹市,有,12327,8220,7650,
新竹,有,3842,3922,4551,
高雄,有,8000,6300,8500,
高雄市,有,8358,8400,9300,
台中市,沒有,,,,4001 -  5000
新北,沒有,,,,4001 -  5000
台南,有,8523,7934,9200,
新北市,有,7659,7460,7892,
台中市,沒有,,,,5001 - 6000
台北市,沒有,,,,6001 - 7000
台北市,有,1748,1842,2304,
花蓮,沒有,,,,6001 - 7000
嘉義市,沒有,,,,4001 -  5000
台東,有,23000,6000,18000,
桃園市,有,5593,4030,3674,
台北,沒有,,,,3000以下
